very clean,spotless
very accurate,exact
very afraid,fearful
very calm,serene
very angry,furious
very careful,cautious
very annoying,exasperating
very cheap,stingy
very bad,awful
very beautiful,gorgeous
very clear,obvious
very big,massive
very cold,freezing
very boring,dull
very colorful,vibrant
very bright,luminous
very competitive,cutthroat
very busy,swamped
very complete,comprehensive
very cute,adorable
very confused,perplexed
very creative,innovative
very crowded,bustling
very dangerous,perilous
very dear,cherished
very deep,profound
very depressed,despondent
very detailed,meticulous
very different,disparate
very difficult,arduous
very dirty,filthy
very dry,arid
very dull,tedious
very easy,effortless
very empty,desolate
very excited,thrilled
very exciting,exhilarating
very expensive,costly
very fast,swift
very fancy,lavish
very fat,obese
very friendly,amiable
very frightened,alarmed
very frightening,terrifying
very funny,hilarious
very glad,overjoyed
very good,excellent
very great,terrific
very happy,ecstatic
very hard,difficult
very hard-to-find,rare
very heavy,leaden
very high,soaring
very hot,sweltering
very huge,colossal
very hungry,starving
very hurt,battered
very loud,thunderous
very important,crucial
very mean,cruel
very intelligent,brilliant
very messy,slovenly
very interesting,captivating
very necessary,essential
very large,huge
very nervous,apprehensive
very lazy,indolent
very nice,kind
very little,tiny
very noisy,deafening
very long,extensive
very often,frequently
very long-term,enduring
very loose,slack
very old-fashioned,archaic
very old,ancient
very open,transparent
very slow,sluggish
very painful,excruciating
very pale,ashen
very perfect,flawless
very poor,destitute
very powerful,compelling
very pretty,beautiful
very quick,rapid
very quiet,hushed
very rainy,pouring
very rich,wealthy
very sad,sorrowful
very scared,petrified
very scary,chilling
very serious,grave
very sharp,keen
very shiny,gleaming
very short,brief
very shy,timid
very simple,basic
very skinny,skeletal
very small,petite
very smart,intelligent
very smelly,pungent
very smooth,sleek
very soft,downy
very sorry,apologetic
very special,exceptional
very strong,forceful
very stupid,idiotic
very sure,certain
very sweet,thoughtful
very talented,gifted
very tall,towering
very tasty,delicious
very thirsty,parched
very tight,constricting
very tiny,minuscule
very tired,exhausted
very ugly,hideous
very unhappy,miserable
very upset,distraught
very warm,hot
very weak,frail
very well-to-do,wealthy
very wet,soaked
very wide,expansive
very willing,eager
very windy,blustery
very wise,sage
very worried,distressed
